deviation,speed
1.8,19.3
1.8,18.3
1.85,18.8
1.85,18.6
1.85,18.5
1.85,17.2
1.84,14.7
1.85,12.5
1.85,10.4
1.85,8.4
1.85,6.3
1.86,4.9
1.57,5.0
0.09,6.7
-1.81,8.2
-2.07,8.3
-1.7,7.5
-1.21,7.7
-1.15,8.7
-1.39,10.3
-1.05,8.9
-0.9,9.1
-0.92,7.5
-0.92,7.1
-0.88,7.6
-0.83,7.7
-0.12,8.8
1.28,10.4
1.91,11.9
1.84,13.4
1.86,14.8
1.86,16.3
1.87,17.7
1.87,19.0
1.87,19.6
1.86,19.9
1.86,19.9
1.85,19.9
1.91,19.7
1.9,19.7
1.85,19.8
1.85,19.9
1.85,19.8
1.86,19.8
1.85,19.9
1.86,19.8
1.85,19.8
1.86,19.8
1.85,19.8
1.85,19.8
1.86,19.8
1.85,19.9
1.85,19.9
1.85,19.8
1.85,19.9
1.85,19.9
1.85,19.8
1.85,19.9
1.86,19.8
1.85,19.9
1.85,19.9
1.86,19.9
1.85,19.9
1.85,19.9
1.85,19.9
1.85,19.9
1.85,19.8
1.85,19.9
1.85,19.9
1.85,19.8
1.85,19.8
1.85,19.9
1.85,19.9
1.85,19.9
1.85,19.8
1.85,19.9
1.85,19.9
1.85,19.5
1.59,16.7
0.82,13.6
0.27,10.7
0.04,7.8
-0.01,4.4
