deviation,speed
1.78,18.1
1.13,18.0
-0.01,17.8
1.14,17.7
2.8,17.5
4.99,17.3
6.07,17.1
5.55,16.8
2.4,16.6
-0.95,16.4
2.58,16.2
3.18,16.1
0.55,15.9
-2.83,15.8
-4.84,15.6
-1.25,15.4
0.38,15.3
2.08,15.1
5.6,15.0
5.46,14.8
3.58,14.6
4.17,14.5
3.94,14.3
2.33,14.2
0.6,14.1
1.96,14.0
4.17,13.8
7.36,13.7
5.89,13.5
2.63,13.4
1.07,13.3
-5.11,13.2
-7.93,13.0
-3.8,12.9
-2.67,12.8
0.88,12.7
2.81,12.6
4.21,12.5
7.34,12.4
6.34,12.3
2.7,12.2
-1.36,12.1
-4.8,12.0
-3.29,11.9
-1.65,11.8
1.81,11.7
4.45,11.6
6.97,11.5
5.68,11.4
4.23,11.3
0.94,11.2
-3.98,11.1
-5.94,11.0
-4.47,11.0
0.1,10.9
4.92,10.8
3.84,10.7
7.04,10.6
10.29,10.5
10.42,10.4
5.36,10.4
2.3,10.3
3.38,10.2
2.96,10.2
2.35,10.1
5.71,10.0
7.27,9.9
7.06,9.9
4.77,9.8
2.67,9.7
4.25,9.7
6.47,9.6
8.71,9.5
8.83,9.5
4.94,9.4
3.92,9.3
3.8,9.3
2.53,9.2
6.37,9.1
11.11,9.1
10.66,9.0
9.48,9.0
8.18,8.9
2.94,8.8
0.66,8.8
3.47,8.7
4.82,8.7
3.07,8.6
0.47,8.6
-0.75,8.5
-1.21,8.5
