ID,Lane,Speed,preceding_speed,time_gap,road_condition,timestamp
DR_28957,2,89,88,219.0,2,1332330325
DR_28957,1,106,80,238.0,2,1332330432
DR_28957,1,80,106,49.0,2,1332330481
DR_28957,2,93,89,208.0,2,1332330533
DR_28957,1,80,80,141.0,2,1332330624
DR_28957,1,97,80,26.0,2,1332330651
DR_28957,1,78,97,46.0,2,1332330698
DR_28957,2,79,93,263.0,2,1332330797
DR_28957,2,100,79,26.0,2,1332330825
DR_28957,2,78,100,14.0,2,1332330840
DR_28957,1,84,78,141.0,2,1332330841
DR_28957,2,86,78,85.0,2,1332330926
DR_22775,2,82,104,53.0,2,1332342915
DR_22775,1,91,75,102.0,2,1332342980
DR_22775,2,88,82,97.0,2,1332343013
DR_22775,2,87,88,36.0,2,1332343049
DR_22775,2,85,87,194.0,2,1332343244
DR_22775,1,87,91,278.0,2,1332343259
DR_22775,2,94,85,96.0,2,1332343341
DR_22775,2,82,94,35.0,2,1332343376
DR_22775,2,84,82,8.0,2,1332343384
DR_22775,2,88,84,45.0,2,1332343431
DR_22775,1,78,87,199.0,2,1332343460
DR_22775,1,87,78,44.0,2,1332343505
DR_22775,2,75,88,79.0,2,1332343511
DR_22775,2,75,75,3.0,2,1332343515
DR_22775,1,87,87,14.0,2,1332343519
DR_22775,1,84,87,3.0,2,1332343523
DR_22775,2,89,75,16.0,2,1332343532
DR_22775,1,76,84,10.0,2,1332343533
DR_63109,2,95,78,65.0,2,1332344730
DR_63109,1,77,73,183.0,2,1332344753
DR_63109,2,83,95,61.0,2,1332344792
DR_63109,1,85,77,335.0,2,1332345089
DR_63109,1,100,85,14.0,2,1332345104
DR_63109,1,77,100,15.0,2,1332345119
DR_63109,1,78,77,3.0,2,1332345123
DR_63109,2,80,83,336.0,2,1332345129
DR_63109,2,82,80,5.0,2,1332345135
DR_63109,2,81,82,1.0,2,1332345136
DR_63109,2,96,81,22.0,2,1332345159
DR_63109,1,78,78,115.0,2,1332345239
DR_63109,2,86,96,95.0,2,1332345254
DR_63109,1,77,78,75.0,2,1332345314
DR_63109,2,96,86,82.0,2,1332345337
DR_63109,2,86,96,13.0,2,1332345351
DR_56144,2,100,87,149.0,1,1332449159
DR_56144,1,79,82,286.0,1,1332449184
DR_56144,1,79,79,2.0,1,1332449187
DR_56144,2,75,100,304.0,1,1332449463
DR_56144,1,80,79,396.0,1,1332449584
DR_56144,1,90,80,27.0,1,1332449612
DR_56144,1,82,90,1.0,1,1332449614
DR_56144,1,75,82,79.0,1,1332449694
DR_56144,2,73,75,238.0,1,1332449702
DR_56144,2,107,73,12.0,1,1332449715
DR_56144,2,83,107,5.0,1,1332449721
DR_52732,2,87,74,123.0,1,1332459924
DR_52732,2,84,87,1.0,1,1332459927
DR_52732,2,85,84,2.0,1,1332459930
DR_52732,2,89,85,4.0,1,1332459936
DR_52732,2,82,89,124.0,1,1332460061
DR_52732,1,147,88,280.0,1,1332460167
DR_52732,2,96,82,126.0,1,1332460188
DR_52732,1,88,147,207.0,1,1332460375
DR_52732,2,79,96,199.0,1,1332460388
DR_52732,2,77,79,,1,1332460389
DR_52732,1,84,88,18.0,1,1332460394
DR_36512,2,87,99,1330.0,1,1332474681
DR_36512,2,90,87,29.0,1,1332474711
DR_36512,1,85,81,922.0,1,1332474712
DR_36512,1,91,85,37.0,1,1332474748
DR_36512,2,115,90,144.0,1,1332474855
DR_36512,1,90,91,203.0,1,1332474953
DR_54858,2,111,88,856.0,1,1332476423
DR_54858,2,79,111,106.0,1,1332476529
DR_54858,1,89,92,688.0,1,1332476530
DR_54858,1,89,89,64.0,1,1332476594
DR_54858,1,90,89,69.0,1,1332476664
