ID,Lane,Speed,preceding_speed,time_gap,road_condition,label,timestamp
DR_24526,1,81,87,94.0,1,2,1332321295
DR_24526,1,88,81,11.0,1,2,1332321307
DR_24526,1,88,88,4.0,1,2,1332321312
DR_24526,2,84,89,127.0,1,2,1332321348
DR_24526,1,89,88,42.0,1,2,1332321354
DR_24526,2,91,84,30.0,1,2,1332321379
DR_24526,2,92,91,4.0,1,2,1332321385
DR_24526,2,90,92,2.0,1,2,1332321388
DR_24526,2,92,90,47.0,1,2,1332321436
DR_24526,2,84,92,31.0,1,2,1332321468
DR_24526,2,91,84,47.0,1,2,1332321516
DR_24526,2,85,91,9.0,1,2,1332321526
DR_24526,2,91,85,17.0,1,2,1332321543
DR_24526,2,81,91,75.0,1,2,1332321619
DR_24526,2,85,81,24.0,1,2,1332321645
DR_24526,2,87,85,30.0,1,2,1332321675
DR_24526,2,102,87,160.0,1,2,1332321837
DR_24526,1,79,89,531.0,1,2,1332321886
DR_24526,1,82,79,4.0,1,2,1332321891
DR_30052,1,79,90,36.0,1,2,1332322225
DR_30052,1,81,79,40.0,1,2,1332322266
DR_30052,2,86,102,490.0,1,2,1332322327
DR_30052,1,83,81,198.0,1,2,1332322464
DR_30052,1,81,83,22.0,1,2,1332322487
DR_30052,2,88,86,313.0,1,2,1332322642
DR_30052,1,88,81,219.0,1,2,1332322707
DR_30052,2,91,88,88.0,1,2,1332322731
DR_30052,1,71,88,23.0,1,2,1332322732
DR_30052,2,78,91,12.0,1,2,1332322743
DR_30052,2,79,78,81.0,1,2,1332322825
DR_40928,2,101,79,350.0,1,2,1332323176
DR_40928,1,78,71,475.0,1,2,1332323208
DR_40928,1,84,78,102.0,1,2,1332323310
DR_40928,1,82,84,97.0,1,2,1332323407
DR_40928,1,77,82,3.0,1,2,1332323412
DR_40928,2,90,101,322.0,1,2,1332323499
DR_40928,2,85,90,104.0,1,2,1332323604
DR_40928,1,89,77,192.0,1,2,1332323605
DR_40928,2,81,85,30.0,1,2,1332323635
DR_40928,2,79,81,68.0,1,2,1332323703
DR_40928,2,90,79,12.0,1,2,1332323716
DR_66033,1,82,75,149.0,1,2,1332324016
DR_66033,2,89,95,218.0,1,2,1332324112
DR_66033,2,88,89,109.0,1,2,1332324221
DR_66033,1,76,82,236.0,1,2,1332324252
DR_66033,1,77,76,1.0,1,2,1332324254
DR_66033,2,79,88,96.0,1,2,1332324318
DR_66033,2,89,79,89.0,1,2,1332324408
DR_66033,1,89,77,153.0,1,2,1332324409
DR_66033,2,86,89,18.0,1,2,1332324427
DR_66033,1,82,89,79.0,1,2,1332324488
DR_66033,1,74,82,155.0,1,2,1332324645
DR_45266,2,78,96,55.0,1,2,1332324944
DR_45266,1,68,78,380.0,1,2,1332325100
DR_45266,2,82,78,315.0,1,2,1332325261
DR_45266,2,85,82,21.0,1,2,1332325282
DR_45266,2,84,85,11.0,1,2,1332325294
DR_45266,1,82,68,257.0,1,2,1332325358
DR_45266,1,80,82,18.0,1,2,1332325377
DR_45266,1,89,80,20.0,1,2,1332325398
DR_45266,1,88,89,7.0,1,2,1332325406
DR_45266,2,84,84,136.0,1,2,1332325431
DR_45266,1,85,88,51.0,1,2,1332325458
DR_45266,1,88,85,43.0,1,2,1332325502
DR_40526,1,87,87,384.0,2,2,1332326758
DR_40526,2,98,100,228.0,2,2,1332326904
DR_40526,1,85,87,244.0,2,2,1332327002
DR_40526,1,82,85,2.0,2,2,1332327006
DR_40526,1,76,82,23.0,2,2,1332327029
DR_40526,2,81,98,125.0,2,2,1332327030
DR_40526,1,86,76,4.0,2,2,1332327034
DR_40526,2,93,81,37.0,2,2,1332327068
DR_40526,1,80,86,59.0,2,2,1332327094
DR_40526,2,99,93,95.0,2,2,1332327163
DR_40526,2,97,99,32.0,2,2,1332327196
DR_40526,2,96,97,84.0,2,2,1332327281
DR_40526,2,103,96,2.0,2,2,1332327283
DR_48779,1,73,74,712.0,2,2,1332328521
DR_48779,1,76,73,77.0,2,2,1332328599
DR_48779,1,73,76,2.0,2,2,1332328602
DR_48779,1,78,73,73.0,2,2,1332328677
