deviation,speed
1.85,25.0
1.84,24.7
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.9
1.85,24.8
1.85,24.8
1.86,24.8
1.85,24.4
1.85,21.6
1.71,19.4
1.21,18.7
0.49,18.6
-0.06,19.0
-0.73,20.3
-1.4,21.4
-1.38,21.8
-1.72,23.2
-1.83,24.0
-1.84,25.0
-1.85,24.8
-1.84,24.8
-1.84,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.86,24.8
-1.86,24.8
-1.85,24.8
-1.86,24.8
-1.86,24.8
-1.89,24.7
-1.86,24.6
-1.86,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.66,23.8
0.0,21.1
0.89,18.4
0.93,15.6
1.07,12.9
1.48,10.1
1.77,7.5
1.86,4.9
1.77,15.2
1.37,16.8
1.48,18.1
1.86,17.0
1.86,18.7
1.86,19.5
1.88,20.9
1.88,19.1
1.89,16.7
1.91,15.0
1.94,14.2
2.0,14.2
1.94,15.5
1.91,15.7
1.87,16.1
1.87,17.1
1.89,18.5
1.9,18.3
1.87,18.2
1.87,18.2
1.86,17.3
1.86,15.5
1.85,15.6
1.85,15.5
1.85,15.4
1.85,15.3
1.87,15.2
1.85,15.1
1.85,15.0
1.85,15.0
1.85,14.9
1.86,14.8
1.85,15.0
1.85,15.3
1.86,15.2
1.85,15.1
1.86,15.0
1.86,15.0
1.89,14.9
1.88,15.5
1.88,15.5
1.85,16.0
1.86,17.4
1.88,17.2
1.88,18.2
1.89,17.9
1.89,17.8
1.86,16.9
1.85,16.9
1.85,16.8
1.87,16.7
1.86,16.3
1.84,15.5
1.87,15.7
1.85,17.2
1.73,18.6
1.15,19.9
0.93,19.8
0.92,19.7
0.93,20.4
0.93,20.2
0.81,20.0
0.5,20.5
0.46,21.6
0.44,21.7
0.18,21.9
0.0,21.7
0.11,22.4
0.42,23.7
0.46,24.3
0.47,24.7
0.46,24.9
0.47,24.8
1.26,24.6
1.86,24.7
1.85,24.9
1.85,24.8
1.85,24.8
1.85,24.8
1.86,24.8
1.86,24.8
1.85,24.8
1.86,24.7
1.86,24.9
1.86,24.7
1.85,24.8
1.86,24.9
1.86,24.8
1.85,24.8
1.85,24.8
1.85,24.9
1.85,24.8
1.85,24.8
1.84,24.8
1.85,24.7
1.85,24.8
1.85,24.9
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.86,24.8
1.85,24.8
1.85,24.8
1.86,24.8
1.85,24.8
1.86,24.8
1.85,24.8
1.87,24.8
1.86,24.8
1.85,24.8
1.88,24.7
1.88,24.8
1.86,24.8
1.85,23.2
2.2,20.9
2.33,18.3
2.18,15.4
1.13,12.7
1.05,11.8
1.85,6.2
1.83,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.8
1.85,24.9
1.85,24.8
1.85,24.8
1.85,24.3
1.78,22.7
1.27,20.0
0.74,17.7
0.46,17.5
0.3,18.2
-0.95,19.7
-1.77,21.1
-1.85,22.5
-1.84,24.1
-1.83,25.0
-1.86,24.8
-1.84,24.9
-1.84,24.8
-1.84,24.8
-1.84,24.8
-1.85,24.6
-1.85,24.9
-1.84,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.86,24.8
-1.85,24.8
-1.85,24.8
-1.86,24.9
-1.85,24.8
-1.97,24.6
-1.86,24.6
-1.84,24.9
-1.85,24.9
-1.85,24.8
-1.85,24.9
-1.86,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.27,22.9
0.29,20.3
1.57,17.5
