deviation,speed
-1.85,25.0
-1.84,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.85,24.9
-1.85,24.8
-1.85,24.8
-1.85,24.8
-1.33,24.6
-0.03,24.4
0.13,24.3
1.19,24.4
1.38,25.0
1.38,24.7
1.75,24.6
1.83,24.9
1.65,23.9
-0.1,21.4
-1.29,22.5
-1.86,23.9
-1.85,24.7
-1.84,24.8
-1.86,24.8
-1.84,24.8
-1.84,24.9
-1.85,24.8
-1.82,24.8
-1.84,24.8
-1.84,24.9
-1.83,24.8
-1.85,24.8
-1.84,24.9
-1.85,24.8
-1.84,24.8
-1.85,24.8
-1.85,24.9
-1.84,24.8
-1.85,24.8
-1.85,22.5
-1.85,19.8
-1.79,17.1
-0.99,14.0
-0.51,11.7
-0.42,8.9
-0.45,6.0
-0.47,0.2
