deviation,speed
1.85,24.8
1.24,24.5
0.45,24.2
4.95,23.8
6.11,23.4
4.69,23.0
0.73,22.7
-2.62,22.4
-3.64,22.0
0.49,21.8
2.38,21.5
2.44,21.3
1.88,21.0
2.15,20.7
2.92,20.5
3.94,20.2
3.56,19.9
4.34,19.6
3.98,19.4
1.94,19.1
1.06,19.0
1.61,18.8
2.76,18.6
3.31,18.4
2.55,18.1
1.28,18.0
1.12,17.8
2.22,17.6
2.3,17.5
2.32,17.3
0.72,17.1
-0.8,16.9
-0.79,16.8
-0.68,16.6
-0.58,16.4
0.19,16.2
-2.94,16.0
-6.62,15.9
-8.36,15.7
-8.25,15.5
-7.71,15.3
-7.2,15.1
-4.31,15.0
-1.24,14.8
3.01,14.7
4.59,14.5
4.2,14.3
6.1,14.2
6.95,14.0
7.93,13.9
6.72,13.7
6.43,13.6
3.95,13.5
1.8,13.4
1.05,13.3
2.19,13.2
5.22,13.0
6.72,12.9
6.51,12.8
5.39,12.7
4.93,15.4
5.24,18.7
5.39,21.9
5.96,24.9
6.53,27.9
7.54,30.8
5.55,33.5
4.56,36.1
5.74,35.1
4.07,34.2
0.43,33.4
-0.84,32.6
-30.84,31.8
-61.9,31.0
-91.58,30.3
1.79,18.0
1.8,18.7
1.84,18.6
1.85,18.9
1.84,18.6
0.71,18.4
2.09,18.3
4.14,18.0
5.49,17.8
7.97,17.5
7.68,17.3
3.77,17.1
1.94,16.9
-0.06,16.8
0.88,16.6
0.7,16.4
-0.31,16.3
-0.52,16.1
1.38,16.0
2.04,15.8
1.3,15.7
1.9,15.6
1.36,15.4
2.15,15.3
5.26,15.2
5.67,15.0
5.96,14.8
5.88,14.7
2.16,14.5
-0.47,14.4
-1.44,14.3
-0.83,14.1
-6.05,14.0
-11.63,13.8
-8.89,13.7
-4.08,13.6
-1.65,13.4
0.04,13.3
1.15,13.2
1.96,13.1
1.93,13.0
3.98,12.9
5.25,12.8
7.96,12.7
8.05,12.5
6.03,12.4
3.58,12.3
1.55,12.2
0.4,12.1
3.0,12.0
5.6,11.9
4.15,11.8
5.36,11.7
4.44,11.6
2.33,11.5
3.92,11.4
5.22,11.3
3.51,11.3
1.18,11.2
-0.43,11.1
2.37,11.0
5.35,10.9
4.78,10.8
3.6,10.8
5.45,10.7
6.38,10.6
7.24,10.5
6.87,10.4
5.02,10.3
3.62,10.3
1.56,10.2
2.09,10.1
4.64,10.1
6.3,10.0
4.6,9.9
5.36,9.8
3.74,9.8
2.86,9.7
2.74,9.6
3.41,9.6
4.07,9.5
5.36,9.4
5.78,9.4
3.53,9.3
2.93,9.2
2.83,9.2
1.82,24.8
1.35,24.5
-0.04,24.2
1.32,23.9
5.93,23.5
8.48,23.1
3.86,22.7
1.06,22.3
-1.13,22.1
-2.55,21.8
-1.28,21.5
-4.59,21.2
-5.56,20.9
-2.01,20.6
0.04,20.3
1.43,20.1
0.14,19.9
-0.95,19.7
2.05,19.5
