deviation,speed
1.82,24.8
1.35,24.5
-0.04,24.2
1.32,23.9
5.93,23.5
8.48,23.1
3.86,22.7
1.06,22.3
-1.13,22.1
-2.55,21.8
-1.28,21.5
-4.59,21.2
-5.56,20.9
-2.01,20.6
0.04,20.3
1.43,20.1
0.14,19.9
-0.95,19.7
2.05,19.5
2.52,19.3
0.06,19.1
-5.73,18.8
-10.6,18.6
-6.03,18.3
-0.12,18.1
1.16,18.0
2.75,17.8
6.31,17.6
6.72,17.3
2.82,17.1
0.7,16.9
2.34,16.8
0.74,16.6
-1.34,16.4
-0.41,16.3
-0.26,16.1
3.27,16.0
0.57,15.8
-5.75,15.6
-7.31,15.4
-2.49,15.3
0.18,15.3
0.47,17.5
-0.11,20.0
-1.37,22.8
-0.5,25.3
1.24,28.3
-0.1,28.7
-1.61,28.3
-3.96,27.7
-5.94,27.1
-0.03,28.1
2.93,29.7
2.07,31.6
2.93,33.5
3.94,35.4
2.29,37.7
4.16,39.7
-0.05,41.9
0.37,42.6
6.6,41.4
0.24,40.6
0.64,39.5
1.32,38.4
-35.33,35.0
-68.15,30.7
-96.77,26.8
-123.29,26.3
-149.28,25.7
