AccX,AccY,AccZ,Class,Timestamp,brake
0.0,0.0,0.0,NORMAL,3581629,0
4.933154,-2.9460795,-0.5215621,AGGRESSIVE,3582366,0
2.3970966,2.6750638,-3.0067048,AGGRESSIVE,3582366,0
-0.14744043,0.042525113,0.12718773,AGGRESSIVE,3582367,0
0.08691335,0.36009634,0.52054214,AGGRESSIVE,3582367,0
-1.1222702,1.0588378,1.1569757,AGGRESSIVE,3582368,0
-2.3459933,1.8451544,-0.35708904,AGGRESSIVE,3582368,1
-2.3490958,-0.3117493,0.4684677,AGGRESSIVE,3582369,1
-0.80549514,0.9258895,-0.7268076,AGGRESSIVE,3582370,1
-1.3858209,-1.4002728,2.3459988,AGGRESSIVE,3582370,0
0.4490471,1.1195741,1.0929928,AGGRESSIVE,3582371,0
1.3141806,-0.4459901,0.67918015,AGGRESSIVE,3582371,0
0.34996748,-0.27857393,-0.3148222,AGGRESSIVE,3582372,0
0.4279709,-1.3410674,0.23682213,AGGRESSIVE,3582372,0
-0.5127404,-0.96300614,0.5778246,AGGRESSIVE,3582373,0
-0.69294643,-1.2386423,-0.025651932,AGGRESSIVE,3582373,0
-0.03834319,0.6300885,0.16882133,AGGRESSIVE,3582374,0
0.9135362,0.26838923,0.3909006,AGGRESSIVE,3582374,0
0.3537147,-0.20214415,-0.24418926,AGGRESSIVE,3582375,0
0.09150833,-1.2763027,-0.51745224,AGGRESSIVE,3582375,0
1.053682,-0.18578833,1.6390381,AGGRESSIVE,3582376,0
-0.68784297,-0.25782818,1.4398193,AGGRESSIVE,3582377,0
-0.73779047,0.6672817,0.25414371,AGGRESSIVE,3582377,0
-0.05156353,1.1686883,-0.023550034,AGGRESSIVE,3582378,0
-0.8580096,0.3717894,-0.9527216,AGGRESSIVE,3582378,0
-0.7279693,-0.8975422,0.44747257,AGGRESSIVE,3582379,0
-1.423011,-1.219429,-0.88558006,AGGRESSIVE,3582379,0
0.1896205,0.11408794,0.008388519,AGGRESSIVE,3582380,0
-0.2191664,-1.4960496,-0.5122204,AGGRESSIVE,3582380,0
0.74259686,-1.0413811,0.42638397,AGGRESSIVE,3582381,0
-0.0027484894,-0.7756457,2.337782,AGGRESSIVE,3582381,0
0.485013,0.7731531,-1.0256262,AGGRESSIVE,3582382,0
-0.14556885,-0.9049087,-0.63170624,AGGRESSIVE,3582382,0
-0.05048275,0.017096534,-1.1174922,AGGRESSIVE,3582383,0
0.18528461,-2.137889,0.13710213,AGGRESSIVE,3582384,0
-1.5296624,-1.1439502,-0.19689465,AGGRESSIVE,3582384,0
-0.8928057,0.37232095,1.4253731,AGGRESSIVE,3582385,0
0.8456969,-0.33443695,0.595294,AGGRESSIVE,3582385,0
-0.9929393,-0.43409896,0.38933182,AGGRESSIVE,3582386,0
1.4454429,0.08674666,0.6754675,AGGRESSIVE,3582386,0
0.5455203,0.19482458,-0.65019226,AGGRESSIVE,3582387,0
0.006242156,-1.743127,0.08949566,AGGRESSIVE,3582387,0
-0.12760854,-2.4735255,0.7583132,AGGRESSIVE,3582388,0
0.44688582,4.245151,0.6169777,AGGRESSIVE,3582388,0
0.09298968,0.54208815,-0.7217827,AGGRESSIVE,3582389,0
0.04341948,-0.025247455,-0.5935974,AGGRESSIVE,3582390,0
1.0281973,0.3825208,1.8312244,AGGRESSIVE,3582390,0
0.21077204,0.053487718,-0.49776363,AGGRESSIVE,3582391,0
-1.2056757,-1.0763421,-1.3311529,AGGRESSIVE,3582391,0
