AccX,AccY,AccZ,Class,Timestamp,brake
-0.62625504,-0.63357514,1.1010561,SLOW,3583058,0
-0.14190257,0.3740467,0.22889996,SLOW,3583059,0
-1.5510405,-0.36908364,0.7171593,SLOW,3583059,0
-0.61246896,0.035557777,0.4804449,SLOW,3583060,0
-0.59336495,-0.45058653,1.4999275,SLOW,3583060,0
0.15639377,-0.6463174,0.008554459,SLOW,3583061,0
-0.28218186,0.18528327,0.07334709,SLOW,3583061,0
-0.9450994,-0.8931174,0.15054321,SLOW,3583062,0
-1.4616195,-0.23117903,-0.32814312,SLOW,3583063,0
-0.45283878,-0.46529728,-0.16696358,SLOW,3583063,0
0.98812973,0.6418567,-0.50401306,SLOW,3583064,0
-0.29620856,0.6040546,-0.8793793,SLOW,3583064,0
-0.16045403,-0.23097414,-0.1562872,SLOW,3583065,0
0.10453379,-1.2805185,-0.7445564,SLOW,3583065,0
0.93017673,0.8451406,0.82563686,SLOW,3583066,0
2.3941636,0.11837247,-0.64065456,SLOW,3583066,0
3.278154,0.025354624,0.37438488,SLOW,3583067,0
0.85505545,-1.1542009,-1.6892481,SLOW,3583067,0
1.8305758,-0.92396724,0.5834513,SLOW,3583068,0
1.3457218,-0.5655335,-0.68259907,SLOW,3583068,0
1.2128271,-0.9816916,-0.28413868,SLOW,3583069,0
0.45993793,-1.0575624,-0.90541744,SLOW,3583070,0
0.32899272,0.054841727,0.27311707,SLOW,3583070,0
0.74000084,-0.3891468,0.113116264,SLOW,3583071,0
-0.61297995,-0.7041083,0.9744606,SLOW,3583071,0
1.1046511,0.54356986,-0.033533096,SLOW,3583072,0
-0.72257066,0.06589757,1.2582073,SLOW,3583072,0
-0.032603502,0.9243001,0.45657253,SLOW,3583073,0
0.84279823,0.67636704,0.46356583,SLOW,3583073,0
0.4107144,0.16595608,1.3744249,SLOW,3583074,0
-0.070317864,-0.85219574,-0.6063833,SLOW,3583074,0
0.13122737,-0.38069615,-1.1667528,SLOW,3583075,0
0.17784953,-0.7080842,-0.94947624,SLOW,3583075,0
-1.145103,-0.89601225,-0.24878979,SLOW,3583076,0
-2.6442745,-2.5636013,-1.1732321,SLOW,3583077,1
-0.8957037,0.45583615,1.6594887,SLOW,3583077,1
0.7652004,2.1131625,1.2231588,SLOW,3583078,0
-0.024217248,0.4785946,0.7092571,SLOW,3583078,0
0.46720004,0.34423807,0.13853931,SLOW,3583079,0
-0.76638544,-0.7531625,-0.51207066,SLOW,3583079,0
-0.28816628,-1.6308962,-0.097361565,SLOW,3583080,0
-0.025117159,0.9171357,0.9120016,SLOW,3583080,0
-0.72296214,-0.16008684,0.32838917,SLOW,3583081,0
1.1009512,0.48942226,-0.009467125,SLOW,3583081,0
0.96695447,-0.31499565,0.73401356,SLOW,3583082,0
-0.8317312,-0.3456138,-0.7083454,SLOW,3583083,0
-0.40691352,-0.30785528,-0.047599792,SLOW,3583083,0
-1.154449,-0.33251494,-0.16680622,SLOW,3583084,0
-1.0835153,-2.4735143,0.2636299,SLOW,3583084,0
-0.790447,0.26405454,0.62375927,SLOW,3583085,0
-0.019569159,0.497078,1.1980839,SLOW,3583085,0
-0.46247232,0.9834922,0.08982849,SLOW,3583086,0
-0.5731816,0.19511057,-0.4779806,SLOW,3583086,0
-1.3476692,-0.46685523,-0.3633318,SLOW,3583087,0
-1.517217,0.47866404,0.031124115,SLOW,3583087,0
-0.11173558,-0.113221854,-0.5654888,SLOW,3583088,0
-0.54897463,0.66193664,0.77593136,SLOW,3583088,0
-1.8495816,-0.55384123,-0.09923458,SLOW,3583089,0
-1.0184686,-0.0053044707,-0.2424078,SLOW,3583090,0
0.53263974,0.36936888,1.106802,SLOW,3583090,0
