AccX,AccY,AccZ,Class,Timestamp,date,hour,minute,second
0.0,0.0,0.0,NORMAL,3581629,1970-02-11 10:53:49,10,53,49
-1.6248639,-1.0824918,-0.20418262,NORMAL,3581630,1970-02-11 10:53:50,10,53,50
-0.5946599,-0.122409865,0.2205019,NORMAL,3581630,1970-02-11 10:53:50,10,53,50
0.7384782,-0.22845554,0.66773224,NORMAL,3581631,1970-02-11 10:53:51,10,53,51
0.101741076,0.7775676,-0.066729546,NORMAL,3581631,1970-02-11 10:53:51,10,53,51
0.15846956,0.34589112,0.3552742,NORMAL,3581632,1970-02-11 10:53:52,10,53,52
0.078171015,-0.34917977,0.27065182,NORMAL,3581632,1970-02-11 10:53:52,10,53,52
-0.66274977,-0.46277535,-0.09979725,NORMAL,3581633,1970-02-11 10:53:53,10,53,53
0.46731782,-0.23463994,0.13413906,NORMAL,3581633,1970-02-11 10:53:53,10,53,53
-0.17189527,-0.40889418,0.41465282,NORMAL,3581634,1970-02-11 10:53:54,10,53,54
0.8526788,-0.41677797,0.4910078,NORMAL,3581634,1970-02-11 10:53:54,10,53,54
0.30885077,0.23902233,1.5170336,NORMAL,3581635,1970-02-11 10:53:55,10,53,55
-0.40297937,-0.040392295,-1.0480223,NORMAL,3581636,1970-02-11 10:53:56,10,53,56
-0.6046126,0.84023064,-0.8447466,NORMAL,3581636,1970-02-11 10:53:56,10,53,56
0.16359544,0.47510707,0.006772995,NORMAL,3581637,1970-02-11 10:53:57,10,53,57
-0.25059032,1.7221956,0.529089,NORMAL,3581637,1970-02-11 10:53:57,10,53,57
0.7984953,0.1821081,0.20606041,NORMAL,3581638,1970-02-11 10:53:58,10,53,58
-0.29116774,1.694341,1.4759464,NORMAL,3581638,1970-02-11 10:53:58,10,53,58
1.1801066,1.6199347,1.0541077,NORMAL,3581639,1970-02-11 10:53:59,10,53,59
-1.2662845,-1.4181135,0.4026966,NORMAL,3581639,1970-02-11 10:53:59,10,53,59
-1.9412715,-1.3333063,-0.80127716,NORMAL,3581640,1970-02-11 10:54:00,10,54,0
-0.16773546,-1.0927223,-0.4438877,NORMAL,3581640,1970-02-11 10:54:00,10,54,0
0.099909425,-0.90456706,-0.58917904,NORMAL,3581641,1970-02-11 10:54:01,10,54,1
-0.23394442,-0.092106625,-0.21144581,NORMAL,3581641,1970-02-11 10:54:01,10,54,1
-0.74943143,-0.33966783,-0.7901592,NORMAL,3581642,1970-02-11 10:54:02,10,54,2
-0.48120236,0.726062,-0.46176815,NORMAL,3581643,1970-02-11 10:54:03,10,54,3
-0.018947363,0.68598056,0.5985756,NORMAL,3581643,1970-02-11 10:54:03,10,54,3
-0.34503925,-0.12613934,-0.11033535,NORMAL,3581644,1970-02-11 10:54:04,10,54,4
