acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label
4.933154,0.0000,0,-2.9460795,0.0000,0,1
2.3970966,0.0000,0,2.6750638,0.0000,0,1
-0.14744043,-0.5308,1,1.6750638,0.1531,1,1
0.08691335,-0.5308,1,0.36009634,0.1531,1,1
-1.1222702,-4.5710,2,1.0588378,3.9649,6,1
-2.3459933,-4.5710,2,1.8451544,3.9649,6,1
-2.3490958,-13.0277,3,-0.3117493,2.8426,13,1
-0.80549514,-15.9275,4,0.9258895,6.1758,17,1
-1.3858209,-15.9275,4,-1.4002728,6.1758,17,1
0.4490471,-14.3109,5,1.1195741,10.2063,18,1
1.3141806,-14.3109,5,-0.4459901,10.2063,18,1
0.34996748,-13.0510,6,-0.27857393,9.2034,16,1
0.4279709,-13.0510,6,-1.3410674,9.2034,16,1
-0.5127404,-14.8969,7,-0.96300614,5.7366,16,1
-0.69294643,-14.8969,7,-1.2386423,5.7366,16,1
-0.03834319,-15.0349,8,0.6300885,8.0049,17,1
0.9135362,-15.0349,8,0.26838923,8.0049,17,1
0.3537147,-13.7616,9,-0.20214415,7.2772,16,1
0.09150833,-13.7616,9,-1.2763027,7.2772,16,1
1.053682,-9.9683,10,-0.18578833,6.6084,12,1
-0.68784297,-12.4445,11,-0.25782818,5.6802,14,1
-0.73779047,-12.4445,11,0.6672817,5.6802,14,1
-0.05156353,-12.6302,12,1.1686883,9.8874,16,1
-0.8580096,-12.6302,12,0.3717894,9.8874,16,1
-0.7279693,-15.2509,13,-0.8975422,6.6563,17,1
-1.423011,-15.2509,13,-1.219429,6.6563,17,1
0.1896205,-14.5682,14,0.11408794,7.0670,16,1
-0.2191664,-14.5682,14,-1.4960496,7.0670,16,1
0.74259686,-11.8949,15,-1.0413811,3.3180,12,1
-0.002748489,-11.8949,15,-0.7756457,3.3180,12,1
0.485013,-10.1488,16,0.7731531,6.1014,12,1
-0.14556885,-10.1488,16,-0.9049087,6.1014,12,1
-0.05048275,-10.3306,17,0.017096534,6.1629,12,1
0.18528461,-9.6635,18,-2.137889,-1.5335,10,1
-1.5296624,-9.6635,18,-1.1439502,-1.5335,10,1
-0.8928057,-12.8776,19,0.37232095,-0.1931,13,1
0.8456969,-12.8776,19,-0.33443695,-0.1931,13,1
-0.9929393,-16.4522,20,-0.43409896,-1.7559,17,1
1.4454429,-16.4522,20,0.08674666,-1.7559,17,1
0.5455203,-14.4884,21,0.19482458,-1.0545,15,1
0.006242156,-14.4884,21,-1.743127,-1.0545,15,1
-0.12760854,-14.9477,22,-2.4735255,-9.9592,18,1
0.44688582,-14.9477,22,4.245151,-9.9592,18,1
0.09298968,-14.6130,23,0.54208815,-8.0077,17,1
0.04341948,-14.4567,24,-0.025247455,-8.0986,17,1
1.0281973,-14.4567,24,0.3825208,-8.0986,17,1
0.21077204,-13.6979,25,0.053487718,-7.9060,16,1
-1.2056757,-13.6979,25,-1.0763421,-7.9060,16,1
-0.416489,-15.1973,26,1.7567708,-1.5816,15,1
-0.8908137,-15.1973,26,-0.75663733,-1.5816,15,1
-0.61343217,-17.4056,27,-0.3204998,-2.7354,18,1
0.072360754,-17.4056,27,-1.6373024,-2.7354,18,1
0.30371165,-16.3122,28,-1.9082879,-9.6053,19,1
-0.19964838,-16.3122,28,-0.12601101,-9.6053,19,1
-0.82311094,-19.2754,29,1.4953158,-4.2221,20,1
-3.287811,-19.2754,29,0.13583837,-4.2221,20,1
-0.5965755,-21.4231,30,-0.25484246,-5.1396,22,1
-3.0195973,-32.2937,31,-0.98213637,-8.6753,33,1
-1.2231386,-32.2937,31,0.13677186,-8.6753,33,1
-0.3346062,-33.4982,32,-0.58534986,-10.7825,35,1
1.0341476,-33.4982,32,1.1366434,-10.7825,35,1
1.4989209,-28.1021,33,-2.1057892,-18.3634,34,1
1.7110636,-28.1021,33,-3.1341352,-18.3634,34,1
1.1163368,-24.0833,34,-3.3576486,-30.4509,39,1
2.129252,-24.0833,34,-3.494373,-30.4509,39,1
2.3416462,-15.6534,35,-2.9855623,-41.1989,44,1
2.0767155,-15.6534,35,0.17628181,-41.1989,44,1
0.06365883,-15.4242,36,-1.3254306,-45.9705,48,1
-1.6395073,-15.4242,36,0.22371605,-45.9705,48,1
1.535208,-9.8975,37,4.058062,-31.3614,33,1
0.4467299,-8.2892,38,-0.33523434,-32.5683,34,1
0.22797513,-8.2892,38,-0.39392185,-32.5683,34,1
-0.049170017,-8.4663,39,-0.5741543,-34.6352,36,1
0.35753214,-8.4663,39,-2.124141,-34.6352,36,1
0.68341494,-6.0060,40,-1.6282524,-40.4969,41,1
-0.7427925,-6.0060,40,-0.11127058,-40.4969,41,1
-1.5538123,-11.5997,41,0.056998193,-40.2918,42,1
-2.7992036,-11.5997,41,-0.6846703,-40.2918,42,1
-3.168629,-23.0068,42,-0.3113255,-41.4125,47,1
-2.1692958,-23.0068,42,-0.11663723,-41.4125,47,1
-2.1210093,-30.6424,43,0.29532993,-40.3493,51,1
0.14335412,-30.6424,43,0.029583544,-40.3493,51,1
1.0625885,-26.8171,44,-0.89369357,-43.5666,51,1
2.3298612,-18.4296,45,-0.3129476,-44.6932,48,1
3.7126846,-18.4296,45,-0.52176225,-44.6932,48,1
3.1058762,-7.2484,46,-0.028666437,-44.7964,45,1
1.9459128,-7.2484,46,-0.6871075,-44.7964,45,1
1.8580182,-0.5595,47,-0.51278764,-46.6425,47,1
2.8162384,-0.5595,47,0.242767,-46.6425,47,1
2.1700854,7.2528,48,1.0297749,-42.9353,44,1
4.157132,7.2528,48,1.5080249,-42.9353,44,1
3.552785,20.0428,49,-0.82469946,-45.9042,50,1
1.897265,20.0428,49,1.0829179,-45.9042,50,1
-1.5290136,14.5383,50,1.0389088,-42.1641,45,1
-0.37024605,13.2055,51,0.41366655,-40.6749,43,1
-0.6937938,13.2055,51,-1.4096346,-40.6749,43,1
-0.51066995,11.3670,52,-0.85383266,-43.7487,45,1
0.29948235,11.3670,52,-0.84446543,-43.7487,45,1
-2.8704789,1.0333,53,-0.55867314,-45.7600,46,1
-0.37338135,1.0333,53,0.2580794,-45.7600,46,1
