acc_x,speed_x_km,time,acc_y,speed_y_km,speed,label,timestamp
4.933154,0.0000,0,-2.9460795,0.0000,0,0,3581629
-1.6248639,-5.8495,1,-1.0824918,-3.8970,7,0,3581630
-0.5946599,-5.8495,1,-0.122409865,-3.8970,7,0,3581630
0.7384782,-3.1910,2,-0.22845554,-4.7194,6,0,3581631
0.101741076,-3.1910,2,0.7775676,-4.7194,6,0,3581631
0.15846956,-2.6205,3,0.34589112,-3.4742,4,0,3581632
0.078171015,-2.6205,3,-0.34917977,-3.4742,4,0,3581632
-0.66274977,-5.0064,4,-0.46277535,-5.1402,7,0,3581633
0.46731782,-5.0064,4,-0.23463994,-5.1402,7,0,3581633
-0.17189527,-5.6252,5,-0.40889418,-6.6122,9,0,3581634
0.8526788,-5.6252,5,-0.41677797,-6.6122,9,0,3581634
0.30885077,-4.5134,6,0.23902233,-5.7517,7,0,3581635
-0.40297937,-5.9641,7,-0.040392295,-5.8971,8,0,3581636
-0.6046126,-5.9641,7,0.84023064,-5.8971,8,0,3581636
0.16359544,-5.3751,8,0.47510707,-4.1868,7,0,3581637
-0.25059032,-5.3751,8,1.7221956,-4.1868,7,0,3581637
0.7984953,-2.5006,9,0.1821081,-3.5312,4,0,3581638
-0.29116774,-2.5006,9,1.694341,-3.5312,4,0,3581638
1.1801066,1.7478,10,1.6199347,2.3006,3,0,3581639
-1.2662845,1.7478,10,-1.4181135,2.3006,3,0,3581639
-1.9412715,-5.2408,11,-1.3333063,-2.4993,6,0,3581640
-0.16773546,-5.2408,11,-1.0927223,-2.4993,6,0,3581640
0.099909425,-4.8811,12,-0.90456706,-5.7557,8,0,3581641
-0.23394442,-4.8811,12,-0.092106625,-5.7557,8,0,3581641
-0.74943143,-7.5790,13,-0.33966783,-6.9786,10,0,3581642
-0.48120236,-9.3114,14,0.726062,-4.3647,10,0,3581643
-0.018947363,-9.3114,14,0.68598056,-4.3647,10,0,3581643
-0.34503925,-10.5535,15,-0.12613934,-4.8188,12,0,3581644
0.5063236,-10.5535,15,0.89916474,-4.8188,12,0,3581644
-0.7444526,-13.2335,16,0.30807012,-3.7098,14,0,3581645
-2.3109999,-13.2335,16,-0.000235908,-3.7098,14,0,3581645
-1.2354913,-17.6813,17,-1.1864295,-7.9809,19,0,3581646
-0.05797839,-17.6813,17,-1.2544351,-7.9809,19,0,3581646
0.73513544,-15.0348,18,-0.59420466,-10.1201,18,0,3581647
-0.18448567,-15.0348,18,-0.28631848,-10.1201,18,0,3581647
0.21474361,-14.2617,19,-0.17878866,-10.7637,18,0,3581648
0.19085145,-14.2617,19,-0.18170041,-10.7637,18,0,3581648
-0.26172924,-15.2040,20,-0.5900413,-12.8879,20,0,3581649
-0.250973,-16.1075,21,0.109036595,-12.4953,20,0,3581650
-0.3154993,-16.1075,21,-0.40621176,-12.4953,20,0,3581650
1.0180122,-12.4426,22,0.70333594,-9.9633,16,0,3581651
-0.97506404,-12.4426,22,0.13342544,-9.9633,16,0,3581651
-0.37907457,-13.8073,23,-0.45772478,-11.6111,18,0,3581652
0.24483013,-13.8073,23,0.65835357,-11.6111,18,0,3581652
0.45495677,-12.1694,24,0.4233096,-10.0872,16,0,3581653
-0.16050053,-12.1694,24,0.4032675,-10.0872,16,0,3581653
-0.7214869,-14.7668,25,-0.5823275,-12.1836,19,0,3581654
-0.10930574,-14.7668,25,0.63884765,-12.1836,19,0,3581654
0.1320141,-14.2915,26,-0.30378756,-13.2772,20,0,3581655
-0.104435205,-14.2915,26,-0.009786218,-13.2772,20,0,3581655
-0.18531281,-14.9587,27,0.6822442,-10.8211,18,0,3581656
1.0312804,-11.2461,28,0.72823286,-8.1995,14,0,3581657
0.024627209,-11.2461,28,0.4760384,-8.1995,14,0,3581657
1.158198,-7.0765,29,0.22727384,-7.3813,10,0,3581658
1.1000575,-7.0765,29,0.22532225,-7.3813,10,0,3581658
0.665429,-4.6810,30,0.49806526,-5.5883,7,0,3581659
0.8107588,-4.6810,30,0.3941303,-5.5883,7,0,3581659
-0.6773871,-7.1196,31,-0.56613946,-7.6264,10,0,3581660
-0.7798283,-7.1196,31,0.45677698,-7.6264,10,0,3581660
-0.62190557,-9.3585,32,-0.4506393,-9.2487,13,0,3581661
0.70113504,-9.3585,32,-0.16873932,-9.2487,13,0,3581661
1.8915246,-2.5490,33,1.1473792,-5.1181,6,0,3581662
-0.44840515,-4.1632,34,-0.0026173,-5.1275,7,0,3581663
-0.6348057,-4.1632,34,0.67214185,-5.1275,7,0,3581663
0.6373229,-1.8689,35,0.9423757,-1.7350,3,0,3581664
-1.1450831,-1.8689,35,-1.1350858,-1.7350,3,0,3581664
-1.561934,-7.4918,36,1.0792023,2.1501,8,0,3581665
-2.3862872,-7.4918,36,-1.1911907,2.1501,8,0,3581665
-2.8973424,-17.9223,37,-0.020120025,2.0777,18,0,3581666
-0.84673524,-17.9223,37,1.1123292,2.0777,18,0,3581666
-0.9487786,-21.3379,38,-1.1211964,-1.9586,21,0,3581667
-0.66064614,-21.3379,38,0.47948244,-1.9586,21,0,3581667
0.32185626,-20.1792,39,-0.004040621,-1.9731,20,0,3581668
-0.62467885,-20.1792,39,-0.8120796,-1.9731,20,0,3581668
0.661506,-17.7978,40,0.006389082,-1.9501,18,0,3581669
0.34187663,-16.5670,41,0.5163145,-0.0914,17,0,3581670
-1.1381806,-16.5670,41,0.89366126,-0.0914,17,0,3581670
1.1962264,-12.2606,42,-0.36534023,-1.4066,12,0,3581671
0.9723377,-12.2606,42,0.17520386,-1.4066,12,0,3581671
2.0955453,-4.7166,43,-0.03835237,-1.5447,5,0,3581672
0.6891172,-4.7166,43,0.004123271,-1.5447,5,0,3581672
-0.9347031,-8.0816,44,-0.4371791,-3.1186,9,0,3581673
0.10281992,-8.0816,44,0.45909715,-3.1186,9,0,3581673
-0.014435411,-8.1335,45,-0.950908,-6.5418,10,0,3581674
0.32654715,-8.1335,45,0.32304913,-6.5418,10,0,3581674
0.96308875,-4.6664,46,0.4298553,-4.9943,7,0,3581675
0.17647147,-4.6664,46,0.5752955,-4.9943,7,0,3581675
0.9191344,-1.3575,47,0.93255293,-1.6371,2,0,3581676
2.6182406,8.0681,48,2.4308987,7.1141,11,0,3581677
1.9347279,8.0681,48,0.7842797,7.1141,11,0,3581677
1.6863043,14.1388,49,1.2241917,11.5212,18,0,3581678
2.5924811,14.1388,49,0.79024184,11.5212,18,0,3581678
1.4067512,19.2031,50,0.5025584,13.3304,23,0,3581679
0.8868482,19.2031,50,0.51803625,13.3304,23,0,3581679
-1.0272081,15.5052,51,-0.055243492,13.1315,20,0,3581680
-1.5332457,15.5052,51,0.928036,13.1315,20,0,3581680
-1.5276446,10.0057,52,-0.38795257,11.7349,15,0,3581681
0.5042579,10.0057,52,0.22524488,11.7349,15,0,3581681
1.3128617,14.7320,53,-0.6251019,9.4845,18,0,3581682
0.38992918,14.7320,53,0.10109073,9.4845,18,0,3581682
0.08548367,15.0397,54,-1.1993814,5.1667,16,0,3581683
-0.41264224,13.5542,55,1.6265585,11.0224,17,0,3581684
-0.48421,13.5542,55,1.4568092,11.0224,17,0,3581684
-1.0362381,9.8238,56,0.08818948,11.3398,15,0,3581685
0.47458458,9.8238,56,0.6829182,11.3398,15,0,3581685
-0.2566589,8.8998,57,-0.72001874,8.7478,12,0,3581686
-0.32550082,8.8998,57,-0.71391904,8.7478,12,0,3581686
-0.728944,6.2756,58,-0.77842444,5.9454,9,0,3581687
-0.58216274,6.2756,58,-0.15954599,5.9454,9,0,3581687
1.2212067,10.6719,59,-0.16466856,5.3526,12,0,3581688
0.15069354,10.6719,59,0.25608444,5.3526,12,0,3581688
0.24779892,11.5640,60,0.37465924,6.7014,13,0,3581689
-0.37758067,10.2047,61,0.4206541,8.2158,13,0,3581690
0.25124454,10.2047,61,-1.0838859,8.2158,13,0,3581690
0.3612535,11.5052,62,-0.3177319,7.0719,14,0,3581691
0.390069,11.5052,62,1.3255444,7.0719,14,0,3581691
0.24759364,12.3966,63,0.77460706,9.8605,16,0,3581692
-0.044749975,12.3966,63,-0.51509464,9.8605,16,0,3581692
0.38730168,13.7908,64,0.006276071,9.8831,17,0,3581693
1.1234715,13.7908,64,0.5328438,9.8831,17,0,3581693
0.119714975,14.2218,65,0.83592296,12.8924,19,0,3581694
0.05827284,14.2218,65,-0.3320887,12.8924,19,0,3581694
0.6484823,16.5564,66,-0.11160147,12.4907,21,0,3581695
1.2564957,16.5564,66,0.51979375,12.4907,21,0,3581695
0.88845897,19.7548,67,0.16919601,13.0998,24,0,3581696
0.2569821,20.6799,68,-0.1243099,12.6523,24,0,3581697
-1.5508068,20.6799,68,-0.7700404,12.6523,24,0,3581697
0.53837967,22.6181,69,-0.070819944,12.3973,26,0,3581698
-2.2353997,22.6181,69,-2.6225307,12.3973,26,0,3581698
0.34413934,23.8570,70,0.25052288,13.2992,27,0,3581699
0.6799526,23.8570,70,-1.0601444,13.2992,27,0,3581699
-0.49350238,22.0804,71,-0.11575872,12.8825,26,0,3581700
0.18948174,22.0804,71,-0.31755272,12.8825,26,0,3581700
0.3959098,23.5057,72,0.10250321,13.2515,27,0,3581701
-0.096042156,23.5057,72,0.48772928,13.2515,27,0,3581701
-2.1764052,15.6706,73,-1.2252504,8.8406,18,0,3581702
-0.46546447,15.6706,73,0.22124556,8.8406,18,0,3581702
0.7124877,18.2356,74,0.16797096,9.4453,21,0,3581703
-0.32323945,17.0719,75,0.11686492,9.8660,20,0,3581704
-1.7656263,17.0719,75,-0.37063468,9.8660,20,0,3581704
0.43888128,18.6519,76,0.1629256,10.4525,21,0,3581705
