AccX,speedX,SpeedX (KMh),t,AccY,SppedY,SppedY (KMh),Spped,AccZ,Class,Timestamp,,date,hour,minute,second,speed_kmh
0,0,0.0000,0,0,0,0,0,0,NORMAL,3581629,,11/02/1970 10:53,10,53,49,0
-1.6248639,-1.6248639,-5.8495,1,-1.0824918,-1.0824918,-3.8970,7,-0.20418262,NORMAL,3581630,1.000000000000000000000000000,11/02/1970 10:53,10,53,50,3.89697048
-0.5946599,-1.6248639,-5.8495,1,-0.122409865,-1.0824918,-3.8970,7,0.2205019,NORMAL,3581630,0.000000000000000000000000000,11/02/1970 10:53,10,53,50,3.89697048
0.7384782,-0.8863857,-3.1910,2,-0.22845554,-1.31094734,-4.7194,6,0.66773224,NORMAL,3581631,1.000000000000000000000000000,11/02/1970 10:53,10,53,51,4.719410424
0.101741076,-0.8863857,-3.1910,2,0.7775676,-1.31094734,-4.7194,6,-0.066729546,NORMAL,3581631,0.000000000000000000000000000,11/02/1970 10:53,10,53,51,4.719410424
0.15846956,-0.72791614,-2.6205,3,0.34589112,-0.96505622,-3.4742,4,0.3552742,NORMAL,3581632,1.000000000000000000000000000,11/02/1970 10:53,10,53,52,3.474202392
0.078171015,-0.72791614,-2.6205,3,-0.34917977,-0.96505622,-3.4742,4,0.27065182,NORMAL,3581632,0.000000000000000000000000000,11/02/1970 10:53,10,53,52,3.474202392
-0.66274977,-1.39066591,-5.0064,4,-0.46277535,-1.42783157,-5.1402,7,-0.09979725,NORMAL,3581633,1.000000000000000000000000000,25610.4540856481,10,53,53,5.140193652
0.46731782,-1.39066591,-5.0064,4,-0.23463994,-1.42783157,-5.1402,7,0.13413906,NORMAL,3581633,0.000000000000000000000000000,25610.4540856481,10,53,53,5.140193652
-0.17189527,-1.56256118,-5.6252,5,-0.40889418,-1.83672575,-6.6122,9,0.41465282,NORMAL,3581634,1.000000000000000000000000000,25610.4540972222,10,53,54,6.6122127
0.8526788,-1.56256118,-5.6252,5,-0.41677797,-1.83672575,-6.6122,9,0.4910078,NORMAL,3581634,0.000000000000000000000000000,11/02/1970 10:53,10,53,54,6.6122127
0.30885077,-1.25371041,-4.5134,6,0.23902233,-1.59770342,-5.7517,7,1.5170336,NORMAL,3581635,,11/02/1970 10:53,10,53,55,5.751732312
-0.40297937,-1.65668978,-5.9641,7,-0.040392295,-1.638095715,-5.8971,8,-1.0480223,NORMAL,3581636,,11/02/1970 10:53,10,53,56,5.897144574
-0.6046126,-1.65668978,-5.9641,7,0.84023064,-1.638095715,-5.8971,8,-0.8447466,NORMAL,3581636,,11/02/1970 10:53,10,53,56,5.897144574
0.16359544,-1.49309434,-5.3751,8,0.47510707,-1.162988645,-4.1868,7,0.006772995,NORMAL,3581637,,11/02/1970 10:53,10,53,57,4.186759122
-0.25059032,-1.49309434,-5.3751,8,1.7221956,-1.162988645,-4.1868,7,0.529089,NORMAL,3581637,,11/02/1970 10:53,10,53,57,4.186759122
0.7984953,-0.69459904,-2.5006,9,0.1821081,-0.980880545,-3.5312,4,0.20606041,NORMAL,3581638,,11/02/1970 10:53,10,53,58,3.531169962
-0.29116774,-0.69459904,-2.5006,9,1.694341,-0.980880545,-3.5312,4,1.4759464,NORMAL,3581638,,11/02/1970 10:53,10,53,58,3.531169962
1.1801066,0.48550756,1.7478,10,1.6199347,0.639054155,2.3006,3,1.0541077,NORMAL,3581639,,11/02/1970 10:53,10,53,59,2.300594958
-1.2662845,0.48550756,1.7478,10,-1.4181135,0.639054155,2.3006,3,0.4026966,NORMAL,3581639,,11/02/1970 10:53,10,53,59,2.300594958
-1.9412715,-1.45576394,-5.2408,11,-1.3333063,-0.694252145,-2.4993,6,-0.80127716,NORMAL,3581640,,11/02/1970 10:54,10,54,0,2.499307722
-0.16773546,-1.45576394,-5.2408,11,-1.0927223,-0.694252145,-2.4993,6,-0.4438877,NORMAL,3581640,,11/02/1970 10:54,10,54,0,2.499307722
0.099909425,-1.355854515,-4.8811,12,-0.90456706,-1.598819205,-5.7557,8,-0.58917904,NORMAL,3581641,,11/02/1970 10:54,10,54,1,5.755749138
-0.23394442,-1.355854515,-4.8811,12,-0.092106625,-1.598819205,-5.7557,8,-0.21144581,NORMAL,3581641,,11/02/1970 10:54,10,54,1,5.755749138
-0.74943143,-2.105285945,-7.5790,13,-0.33966783,-1.938487035,-6.9786,10,-0.7901592,NORMAL,3581642,,11/02/1970 10:54,10,54,2,6.978553326
-0.48120236,-2.586488305,-9.3114,14,0.726062,-1.212425035,-4.3647,10,-0.46176815,NORMAL,3581643,,11/02/1970 10:54,10,54,3,4.364730126
-0.018947363,-2.586488305,-9.3114,14,0.68598056,-1.212425035,-4.3647,10,0.5985756,NORMAL,3581643,,11/02/1970 10:54,10,54,3,4.364730126
-0.34503925,-2.931527555,-10.5535,15,-0.12613934,-1.338564375,-4.8188,12,-0.11033535,NORMAL,3581644,,11/02/1970 10:54,10,54,4,4.81883175
0.5063236,-2.931527555,-10.5535,15,0.89916474,-1.338564375,-4.8188,12,-0.48235893,NORMAL,3581644,,11/02/1970 10:54,10,54,4,4.81883175
-0.7444526,-3.675980155,-13.2335,16,0.30807012,-1.030494255,-3.7098,14,0.13416195,NORMAL,3581645,,11/02/1970 10:54,10,54,5,3.709779318
-2.3109999,-3.675980155,-13.2335,16,-0.000235908,-1.030494255,-3.7098,14,1.234169,NORMAL,3581645,,11/02/1970 10:54,10,54,5,3.709779318
-1.2354913,-4.911471455,-17.6813,17,-1.1864295,-2.216923755,-7.9809,19,-0.4508562,NORMAL,3581646,,11/02/1970 10:54,10,54,6,7.980925518
-0.05797839,-4.911471455,-17.6813,17,-1.2544351,-2.216923755,-7.9809,19,-1.2268076,NORMAL,3581646,,11/02/1970 10:54,10,54,6,7.980925518
0.73513544,-4.176336015,-15.0348,18,-0.59420466,-2.811128415,-10.1201,18,0.5606766,NORMAL,3581647,,11/02/1970 10:54,10,54,7,10.12006229
-0.18448567,-4.176336015,-15.0348,18,-0.28631848,-2.811128415,-10.1201,18,0.45686817,NORMAL,3581647,,11/02/1970 10:54,10,54,7,10.12006229
0.21474361,-3.961592405,-14.2617,19,-0.17878866,-2.989917075,-10.7637,18,0.5616379,NORMAL,3581648,,11/02/1970 10:54,10,54,8,10.76370147
0.19085145,-3.961592405,-14.2617,19,-0.18170041,-2.989917075,-10.7637,18,0.5620079,NORMAL,3581648,,11/02/1970 10:54,10,54,8,10.76370147
-0.26172924,-4.223321645,-15.2040,20,-0.5900413,-3.579958375,-12.8879,20,-0.06337738,NORMAL,3581649,,11/02/1970 10:54,10,54,9,12.88785015
-0.250973,-4.474294645,-16.1075,21,0.109036595,-3.47092178,-12.4953,20,0.17395306,NORMAL,3581650,,11/02/1970 10:54,10,54,10,12.49531841
-0.3154993,-4.474294645,-16.1075,21,-0.40621176,-3.47092178,-12.4953,20,-0.6458931,NORMAL,3581650,,11/02/1970 10:54,10,54,10,12.49531841
1.0180122,-3.456282445,-12.4426,22,0.70333594,-2.76758584,-9.9633,16,-0.9524183,NORMAL,3581651,,11/02/1970 10:54,10,54,11,9.963309024
-0.97506404,-3.456282445,-12.4426,22,0.13342544,-2.76758584,-9.9633,16,-0.51490307,NORMAL,3581651,,11/02/1970 10:54,10,54,11,9.963309024
-0.37907457,-3.835357015,-13.8073,23,-0.45772478,-3.22531062,-11.6111,18,-0.011478424,NORMAL,3581652,,11/02/1970 10:54,10,54,12,11.61111823
0.24483013,-3.835357015,-13.8073,23,0.65835357,-3.22531062,-11.6111,18,-0.44392014,NORMAL,3581652,,11/02/1970 10:54,10,54,12,11.61111823
0.45495677,-3.380400245,-12.1694,24,0.4233096,-2.80200102,-10.0872,16,0.17937946,NORMAL,3581653,,11/02/1970 10:54,10,54,13,10.08720367
-0.16050053,-3.380400245,-12.1694,24,0.4032675,-2.80200102,-10.0872,16,0.935833,NORMAL,3581653,,11/02/1970 10:54,10,54,13,10.08720367
-0.7214869,-4.101887145,-14.7668,25,-0.5823275,-3.38432852,-12.1836,19,-0.5584183,NORMAL,3581654,,11/02/1970 10:54,10,54,14,12.18358267
-0.10930574,-4.101887145,-14.7668,25,0.63884765,-3.38432852,-12.1836,19,-0.6289568,NORMAL,3581654,,11/02/1970 10:54,10,54,14,12.18358267
0.1320141,-3.969873045,-14.2915,26,-0.30378756,-3.68811608,-13.2772,20,0.08743,NORMAL,3581655,,11/02/1970 10:54,10,54,15,13.27721789
-0.104435205,-3.969873045,-14.2915,26,-0.009786218,-3.68811608,-13.2772,20,0.19088554,NORMAL,3581655,,11/02/1970 10:54,10,54,15,13.27721789
-0.18531281,-4.155185855,-14.9587,27,0.6822442,-3.00587188,-10.8211,18,0.02031517,NORMAL,3581656,,11/02/1970 10:54,10,54,16,10.82113877
1.0312804,-3.123905455,-11.2461,28,0.72823286,-2.27763902,-8.1995,14,0.1628828,NORMAL,3581657,,11/02/1970 10:54,10,54,17,8.199500472
0.024627209,-3.123905455,-11.2461,28,0.4760384,-2.27763902,-8.1995,14,-1.6079884,NORMAL,3581657,,11/02/1970 10:54,10,54,17,8.199500472
1.158198,-1.965707455,-7.0765,29,0.22727384,-2.05036518,-7.3813,10,-0.6456232,NORMAL,3581658,,11/02/1970 10:54,10,54,18,7.381314648
1.1000575,-1.965707455,-7.0765,29,0.22532225,-2.05036518,-7.3813,10,-0.049497604,NORMAL,3581658,,11/02/1970 10:54,10,54,18,7.381314648
0.665429,-1.300278455,-4.6810,30,0.49806526,-1.55229992,-5.5883,7,-0.106206894,NORMAL,3581659,,11/02/1970 10:54,10,54,19,5.588279712
0.8107588,-1.300278455,-4.6810,30,0.3941303,-1.55229992,-5.5883,7,0.5273695,NORMAL,3581659,,11/02/1970 10:54,10,54,19,5.588279712
-0.6773871,-1.977665555,-7.1196,31,-0.56613946,-2.11843938,-7.6264,10,-0.8683405,NORMAL,3581660,,11/02/1970 10:54,10,54,20,7.626381768
-0.7798283,-1.977665555,-7.1196,31,0.45677698,-2.11843938,-7.6264,10,-0.5473404,NORMAL,3581660,,11/02/1970 10:54,10,54,20,7.626381768
-0.62190557,-2.599571125,-9.3585,32,-0.4506393,-2.56907868,-9.2487,13,0.37696838,NORMAL,3581661,,11/02/1970 10:54,10,54,21,9.248683248
0.70113504,-2.599571125,-9.3585,32,-0.16873932,-2.56907868,-9.2487,13,2.0005665,NORMAL,3581661,,11/02/1970 10:54,10,54,21,9.248683248
1.8915246,-0.708046525,-2.5490,33,1.1473792,-1.42169948,-5.1181,6,1.4740295,NORMAL,3581662,,11/02/1970 10:54,10,54,22,5.118118128
-0.44840515,-1.156451675,-4.1632,34,-0.0026173,-1.42431678,-5.1275,7,-0.41570568,NORMAL,3581663,,11/02/1970 10:54,10,54,23,5.127540407
-0.6348057,-1.156451675,-4.1632,34,0.67214185,-1.42431678,-5.1275,7,-0.2979393,NORMAL,3581663,,11/02/1970 10:54,10,54,23,5.127540407
0.6373229,-0.519128775,-1.8689,35,0.9423757,-0.48194108,-1.7350,3,-0.43490982,NORMAL,3581664,,11/02/1970 10:54,10,54,24,1.734987887
-1.1450831,-0.519128775,-1.8689,35,-1.1350858,-0.48194108,-1.7350,3,0.052502632,NORMAL,3581664,,11/02/1970 10:54,10,54,24,1.734987887
-1.561934,-2.081062775,-7.4918,36,1.0792023,0.59726122,2.1501,8,0.28938866,NORMAL,3581665,,11/02/1970 10:54,10,54,25,2.150140393
-2.3862872,-2.081062775,-7.4918,36,-1.1911907,0.59726122,2.1501,8,1.1060066,NORMAL,3581665,,11/02/1970 10:54,10,54,25,2.150140393
-2.8973424,-4.978405175,-17.9223,37,-0.020120025,0.577141195,2.0777,18,-0.67102814,NORMAL,3581666,,11/02/1970 10:54,10,54,26,2.077708303
-0.84673524,-4.978405175,-17.9223,37,1.1123292,0.577141195,2.0777,18,0.09226227,NORMAL,3581666,,11/02/1970 10:54,10,54,26,2.077708303
-0.9487786,-5.927183775,-21.3379,38,-1.1211964,-0.544055205,-1.9586,21,0.36146355,NORMAL,3581667,,11/02/1970 10:54,10,54,27,1.958598737
-0.66064614,-5.927183775,-21.3379,38,0.47948244,-0.544055205,-1.9586,21,1.7438354,NORMAL,3581667,,11/02/1970 10:54,10,54,27,1.958598737
0.32185626,-5.605327515,-20.1792,39,-0.004040621,-0.548095826,-1.9731,20,0.43290806,NORMAL,3581668,,11/02/1970 10:54,10,54,28,1.973144972
-0.62467885,-5.605327515,-20.1792,39,-0.8120796,-0.548095826,-1.9731,20,-0.07954121,NORMAL,3581668,,11/02/1970 10:54,10,54,28,1.973144972
0.661506,-4.943821515,-17.7978,40,0.006389082,-0.541706744,-1.9501,18,-0.5900564,NORMAL,3581669,,11/02/1970 10:54,10,54,29,1.950144279
0.34187663,-4.601944885,-16.5670,41,0.5163145,-0.025392244,-0.0914,17,-0.15867233,NORMAL,3581670,,11/02/1970 10:54,10,54,30,0.091412079
-1.1381806,-4.601944885,-16.5670,41,0.89366126,-0.025392244,-0.0914,17,0.8679552,NORMAL,3581670,,11/02/1970 10:54,10,54,30,0.091412079
1.1962264,-3.405718485,-12.2606,42,-0.36534023,-0.390732474,-1.4066,12,-0.67862415,NORMAL,3581671,,11/02/1970 10:54,10,54,31,1.406636907
0.9723377,-3.405718485,-12.2606,42,0.17520386,-0.390732474,-1.4066,12,-1.4484472,NORMAL,3581671,,11/02/1970 10:54,10,54,31,1.406636907
2.0955453,-1.310173185,-4.7166,43,-0.03835237,-0.429084844,-1.5447,5,-0.12156963,NORMAL,3581672,,11/02/1970 10:54,10,54,32,1.544705439
0.6891172,-1.310173185,-4.7166,43,0.004123271,-0.429084844,-1.5447,5,-1.3480415,NORMAL,3581672,,11/02/1970 10:54,10,54,32,1.544705439
-0.9347031,-2.244876285,-8.0816,44,-0.4371791,-0.866263944,-3.1186,9,-0.59119606,NORMAL,3581673,,11/02/1970 10:54,10,54,33,3.118550199
0.10281992,-2.244876285,-8.0816,44,0.45909715,-0.866263944,-3.1186,9,-0.11830711,NORMAL,3581673,,11/02/1970 10:54,10,54,33,3.118550199
-0.014435411,-2.259311696,-8.1335,45,-0.950908,-1.817171944,-6.5418,10,0.82091236,NORMAL,3581674,,11/02/1970 10:54,10,54,34,6.541818999
0.32654715,-2.259311696,-8.1335,45,0.32304913,-1.817171944,-6.5418,10,0.5020542,NORMAL,3581674,,11/02/1970 10:54,10,54,34,6.541818999
0.96308875,-1.296222946,-4.6664,46,0.4298553,-1.387316644,-4.9943,7,0.52382755,NORMAL,3581675,,11/02/1970 10:54,10,54,35,4.994339919
0.17647147,-1.296222946,-4.6664,46,0.5752955,-1.387316644,-4.9943,7,1.5496607,NORMAL,3581675,,11/02/1970 10:54,10,54,35,4.994339919
0.9191344,-0.377088546,-1.3575,47,0.93255293,-0.454763714,-1.6371,2,-0.29841137,NORMAL,3581676,,11/02/1970 10:54,10,54,36,1.637149371
2.6182406,2.241152055,8.0681,48,2.4308987,1.976134986,7.1141,11,-0.82796764,NORMAL,3581677,,11/02/1970 10:54,10,54,37,7.114085949
1.9347279,2.241152055,8.0681,48,0.7842797,1.976134986,7.1141,11,-1.5967312,NORMAL,3581677,,11/02/1970 10:54,10,54,37,7.114085949
1.6863043,3.927456355,14.1388,49,1.2241917,3.200326686,11.5212,18,-0.587286,NORMAL,3581678,,11/02/1970 10:54,10,54,38,11.52117607
2.5924811,3.927456355,14.1388,49,0.79024184,3.200326686,11.5212,18,-0.40652752,NORMAL,3581678,,11/02/1970 10:54,10,54,38,11.52117607
1.4067512,5.334207555,19.2031,50,0.5025584,3.702885086,13.3304,23,-1.3592224,NORMAL,3581679,,11/02/1970 10:54,10,54,39,13.33038631
0.8868482,5.334207555,19.2031,50,0.51803625,3.702885086,13.3304,23,0.11828709,NORMAL,3581679,,11/02/1970 10:54,10,54,39,13.33038631
-1.0272081,4.306999455,15.5052,51,-0.055243492,3.647641594,13.1315,20,-0.14257717,NORMAL,3581680,,11/02/1970 10:54,10,54,40,13.13150974
-1.5332457,4.306999455,15.5052,51,0.928036,3.647641594,13.1315,20,-0.6522989,NORMAL,3581680,,11/02/1970 10:54,10,54,40,13.13150974
-1.5276446,2.779354855,10.0057,52,-0.38795257,3.259689024,11.7349,15,-0.5631046,NORMAL,3581681,,11/02/1970 10:54,10,54,41,11.73488049
0.5042579,2.779354855,10.0057,52,0.22524488,3.259689024,11.7349,15,0.1879034,NORMAL,3581681,,11/02/1970 10:54,10,54,41,11.73488049
1.3128617,4.092216555,14.7320,53,-0.6251019,2.634587124,9.4845,18,-0.38088036,NORMAL,3581682,,11/02/1970 10:54,10,54,42,9.484513646
0.38992918,4.092216555,14.7320,53,0.10109073,2.634587124,9.4845,18,-0.35014343,NORMAL,3581682,,11/02/1970 10:54,10,54,42,9.484513646
0.08548367,4.177700225,15.0397,54,-1.1993814,1.435205724,5.1667,16,-0.7559643,NORMAL,3581683,,11/02/1970 10:54,10,54,43,5.166740606
-0.41264224,3.765057985,13.5542,55,1.6265585,3.061764224,11.0224,17,0.5976982,NORMAL,3581684,,11/02/1970 10:54,10,54,44,11.02235121
-0.48421,3.765057985,13.5542,55,1.4568092,3.061764224,11.0224,17,-1.1082525,NORMAL,3581684,,11/02/1970 10:54,10,54,44,11.02235121
-1.0362381,2.728819885,9.8238,56,0.08818948,3.149953704,11.3398,15,-0.9361582,NORMAL,3581685,,11/02/1970 10:54,10,54,45,11.33983333
0.47458458,2.728819885,9.8238,56,0.6829182,3.149953704,11.3398,15,-0.771245,NORMAL,3581685,,11/02/1970 10:54,10,54,45,11.33983333
-0.2566589,2.472160985,8.8998,57,-0.72001874,2.429934964,8.7478,12,0.73049927,NORMAL,3581686,,11/02/1970 10:54,10,54,46,8.74776587
-0.32550082,2.472160985,8.8998,57,-0.71391904,2.429934964,8.7478,12,-0.15477943,NORMAL,3581686,,11/02/1970 10:54,10,54,46,8.74776587
-0.728944,1.743216985,6.2756,58,-0.77842444,1.651510524,5.9454,9,-1.2348099,NORMAL,3581687,,11/02/1970 10:54,10,54,47,5.945437886
-0.58216274,1.743216985,6.2756,58,-0.15954599,1.651510524,5.9454,9,-0.18910027,NORMAL,3581687,,11/02/1970 10:54,10,54,47,5.945437886
1.2212067,2.964423685,10.6719,59,-0.16466856,1.486841964,5.3526,12,0.000629425,NORMAL,3581688,,11/02/1970 10:54,10,54,48,5.35263107
0.15069354,2.964423685,10.6719,59,0.25608444,1.486841964,5.3526,12,0.029931068,NORMAL,3581688,,11/02/1970 10:54,10,54,48,5.35263107
0.24779892,3.212222605,11.5640,60,0.37465924,1.861501204,6.7014,13,-0.24551773,NORMAL,3581689,,11/02/1970 10:54,10,54,49,6.701404334
-0.37758067,2.834641935,10.2047,61,0.4206541,2.282155304,8.2158,13,-0.37968922,NORMAL,3581690,,11/02/1970 10:54,10,54,50,8.215759094
0.25124454,2.834641935,10.2047,61,-1.0838859,2.282155304,8.2158,13,-0.08934784,NORMAL,3581690,,11/02/1970 10:54,10,54,50,8.215759094
0.3612535,3.195895435,11.5052,62,-0.3177319,1.964423404,7.0719,14,0.797492,NORMAL,3581691,,11/02/1970 10:54,10,54,51,7.071924254
0.390069,3.195895435,11.5052,62,1.3255444,1.964423404,7.0719,14,0.38725853,NORMAL,3581691,,11/02/1970 10:54,10,54,51,7.071924254
0.24759364,3.443489075,12.3966,63,0.77460706,2.739030464,9.8605,16,0.692894,NORMAL,3581692,,11/02/1970 10:54,10,54,52,9.86050967
-0.044749975,3.443489075,12.3966,63,-0.51509464,2.739030464,9.8605,16,-0.94717216,NORMAL,3581692,,11/02/1970 10:54,10,54,52,9.86050967
0.38730168,3.830790755,13.7908,64,0.006276071,2.745306535,9.8831,17,2.904272,NORMAL,3581693,,11/02/1970 10:54,10,54,53,9.883103526
