AccX,speedX,SpeedX (KMh),t,AccY,SppedY,SppedY (KMh),Spped,AccZ,Class,Timestamp,,date,hour,minute,second,speed_kmh
0,0,0.0000,0,0,0,0,0,0,NORMAL,3581629,,11/02/1970 10:53,10,53,49,0
-1.6248639,-1.6248639,-5.8495,1,-1.0824918,-1.0824918,-3.8970,7,-0.20418262,NORMAL,3581630,1.000000000000000000000000000,11/02/1970 10:53,10,53,50,3.89697048
0,0,0.0000,0,-0.7614647,-26.9722916,-97.1002,97,0.76237965,SLOW,3583044,,11/02/1970 11:17,11,17,24,1676.447041
-2.0386841,-2.0386841,-7.3393,1,1.2189668,-25.7533248,-92.7120,93,0.8400688,SLOW,3583045,,11/02/1970 11:17,11,17,25,1672.05876
-0.03454995,-2.0386841,-7.3393,1,-0.10912155,-25.7533248,-92.7120,93,-0.105033875,SLOW,3583045,,11/02/1970 11:17,11,17,25,1672.05876
-0.3226254,-2.3613095,-8.5007,2,-0.3462356,-26.0995604,-93.9584,94,0.27464676,SLOW,3583046,,11/02/1970 11:17,11,17,26,1673.305208
0.34433484,-2.3613095,-8.5007,2,-0.1290273,-26.0995604,-93.9584,94,0.52448654,SLOW,3583046,,11/02/1970 11:17,11,17,26,1673.305208
-0.696713,-3.0580225,-11.0089,3,-0.9560374,-27.0555978,-97.4002,98,0.5240116,SLOW,3583047,,11/02/1970 11:17,11,17,27,1676.746943
-0.62867975,-3.0580225,-11.0089,3,0.20788682,-27.0555978,-97.4002,98,-0.061346054,SLOW,3583047,,11/02/1970 11:17,11,17,27,1676.746943
-0.20441616,-3.26243866,-11.7448,4,0.3662517,-26.6893461,-96.0816,97,0.8682909,SLOW,3583048,,11/02/1970 11:17,11,17,28,1675.428437
0.4725604,-3.26243866,-11.7448,4,-0.5226371,-26.6893461,-96.0816,97,-0.44400406,SLOW,3583048,,11/02/1970 11:17,11,17,28,1675.428437
1.5028293,-1.75960936,-6.3346,5,-1.5785582,-28.2679043,-101.7645,102,-2.3963938,SLOW,3583049,,11/02/1970 11:17,11,17,29,1681.111246
0.65659857,-1.10301079,-3.9708,6,-1.0982938,-29.3661981,-105.7183,106,-0.8483734,SLOW,3583050,,11/02/1970 11:17,11,17,30,1685.065104
1.2357523,-1.10301079,-3.9708,6,-0.68819076,-29.3661981,-105.7183,106,-0.47409916,SLOW,3583050,,11/02/1970 11:17,11,17,30,1685.065104
0.85084426,-0.25216653,-0.9078,7,-0.3950643,-29.7612624,-107.1405,107,-0.3611498,SLOW,3583051,,11/02/1970 11:17,11,17,31,1686.487335
-0.4337287,-0.25216653,-0.9078,7,-1.2125113,-29.7612624,-107.1405,107,0.10484505,SLOW,3583051,,11/02/1970 11:17,11,17,31,1686.487335
0.9247714,0.67260487,2.4214,8,-0.33397043,-30.09523283,-108.3428,108,0.81051445,SLOW,3583052,,11/02/1970 11:17,11,17,32,1687.689629
-0.10291326,0.67260487,2.4214,8,-0.37862086,-30.09523283,-108.3428,108,0.9426136,SLOW,3583052,,11/02/1970 11:17,11,17,32,1687.689629
0.1265266,0.79913147,2.8769,9,-1.113726,-31.20895883,-112.3523,112,-0.7479515,SLOW,3583053,,11/02/1970 11:17,11,17,33,1691.699043
-0.17876494,0.79913147,2.8769,9,-0.7462567,-31.20895883,-112.3523,112,-0.08961201,SLOW,3583053,,11/02/1970 11:17,11,17,33,1691.699043
0.093723536,0.892855006,3.2143,10,-0.38348776,-31.59244659,-113.7328,114,0.03371811,SLOW,3583054,,11/02/1970 11:17,11,17,34,1693.079598
-0.025535226,0.892855006,3.2143,10,0.1222612,-31.59244659,-113.7328,114,-0.8443556,SLOW,3583054,,11/02/1970 11:17,11,17,34,1693.079598
-0.4336443,0.459210706,1.6532,11,-0.14790285,-31.74034944,-114.2653,114,-0.32722473,SLOW,3583055,,11/02/1970 11:17,11,17,35,1693.612049
-0.9519646,-0.492753894,-1.7739,12,0.08621198,-31.65413746,-113.9549,114,-0.4950552,SLOW,3583056,,11/02/1970 11:17,11,17,36,1693.301686
-0.73860586,-0.492753894,-1.7739,12,-0.7711335,-31.65413746,-113.9549,114,0.3199377,SLOW,3583056,,11/02/1970 11:17,11,17,36,1693.301686
-1.053727,-1.546480894,-5.5673,13,0.3897935,-31.26434396,-112.5516,113,-1.0552721,SLOW,3583057,,11/02/1970 11:17,11,17,37,1691.898429
-1.4872426,-1.546480894,-5.5673,13,-0.5264921,-31.26434396,-112.5516,113,0.6977358,SLOW,3583057,,11/02/1970 11:17,11,17,37,1691.898429
-1.0376472,-2.584128094,-9.3029,14,-0.8648814,-32.12922536,-115.6652,116,0.40837288,SLOW,3583058,,11/02/1970 11:17,11,17,38,1695.012002
-0.62625504,-2.584128094,-9.3029,14,-0.63357514,-32.12922536,-115.6652,116,1.1010561,SLOW,3583058,,11/02/1970 11:17,11,17,38,1695.012002
-0.14190257,-2.726030664,-9.8137,15,0.3740467,-31.75517866,-114.3186,115,0.22889996,SLOW,3583059,,11/02/1970 11:17,11,17,39,1693.665434
-1.5510405,-2.726030664,-9.8137,15,-0.36908364,-31.75517866,-114.3186,115,0.7171593,SLOW,3583059,,11/02/1970 11:17,11,17,39,1693.665434
-0.61246896,-3.338499624,-12.0186,16,0.035557777,-31.71962088,-114.1906,115,0.4804449,SLOW,3583060,,11/02/1970 11:17,11,17,40,1693.537426
-0.59336495,-3.338499624,-12.0186,16,-0.45058653,-31.71962088,-114.1906,115,1.4999275,SLOW,3583060,,11/02/1970 11:17,11,17,40,1693.537426
0.15639377,-3.182105854,-11.4556,17,-0.6463174,-32.36593828,-116.5174,117,0.008554459,SLOW,3583061,,11/02/1970 11:17,11,17,41,1695.864169
-0.28218186,-3.182105854,-11.4556,17,0.18528327,-32.36593828,-116.5174,117,0.07334709,SLOW,3583061,,11/02/1970 11:17,11,17,41,1695.864169
-0.9450994,-4.127205254,-14.8579,18,-0.8931174,-33.25905568,-119.7326,121,0.15054321,SLOW,3583062,,11/02/1970 11:17,11,17,42,1699.079391
-1.4616195,-5.588824754,-20.1198,19,-0.23117903,-33.49023471,-120.5648,122,-0.32814312,SLOW,3583063,,11/02/1970 11:17,11,17,43,1699.911636
-0.45283878,-5.588824754,-20.1198,19,-0.46529728,-33.49023471,-120.5648,122,-0.16696358,SLOW,3583063,,11/02/1970 11:17,11,17,43,1699.911636
0.98812973,-4.600695024,-16.5625,20,0.6418567,-32.84837801,-118.2542,119,-0.50401306,SLOW,3583064,,11/02/1970 11:17,11,17,44,1697.600952
-0.29620856,-4.600695024,-16.5625,20,0.6040546,-32.84837801,-118.2542,119,-0.8793793,SLOW,3583064,,11/02/1970 11:17,11,17,44,1697.600952
-0.16045403,-4.761149054,-17.1401,21,-0.23097414,-33.07935215,-119.0857,120,-0.1562872,SLOW,3583065,,11/02/1970 11:17,11,17,45,1698.432459
0.10453379,-4.761149054,-17.1401,21,-1.2805185,-33.07935215,-119.0857,120,-0.7445564,SLOW,3583065,,11/02/1970 11:17,11,17,45,1698.432459
0.93017673,-3.830972324,-13.7915,22,0.8451406,-32.23421155,-116.0432,117,0.82563686,SLOW,3583066,,11/02/1970 11:17,11,17,46,1695.389952
2.3941636,-3.830972324,-13.7915,22,0.11837247,-32.23421155,-116.0432,117,-0.64065456,SLOW,3583066,,11/02/1970 11:17,11,17,46,1695.389952
3.278154,-0.552818324,-1.9901,23,0.025354624,-32.20885693,-115.9519,116,0.37438488,SLOW,3583067,,11/02/1970 11:17,11,17,47,1695.298676
0.85505545,-0.552818324,-1.9901,23,-1.1542009,-32.20885693,-115.9519,116,-1.6892481,SLOW,3583067,,11/02/1970 11:17,11,17,47,1695.298676
1.8305758,1.277757476,4.5999,24,-0.92396724,-33.13282417,-119.2782,119,0.5834513,SLOW,3583068,,11/02/1970 11:17,11,17,48,1698.624958
1.3457218,1.277757476,4.5999,24,-0.5655335,-33.13282417,-119.2782,119,-0.68259907,SLOW,3583068,,11/02/1970 11:17,11,17,48,1698.624958
1.2128271,2.490584576,8.9661,25,-0.9816916,-34.11451577,-122.8123,123,-0.28413868,SLOW,3583069,,11/02/1970 11:17,11,17,49,1702.159048
0.45993793,2.950522506,10.6219,26,-1.0575624,-35.17207817,-126.6195,127,-0.90541744,SLOW,3583070,,11/02/1970 11:17,11,17,50,1705.966272
0.32899272,2.950522506,10.6219,26,0.054841727,-35.17207817,-126.6195,127,0.27311707,SLOW,3583070,,11/02/1970 11:17,11,17,50,1705.966272
0.74000084,3.690523346,13.2859,27,-0.3891468,-35.56122497,-128.0204,129,0.113116264,SLOW,3583071,,11/02/1970 11:17,11,17,51,1707.367201
-0.61297995,3.690523346,13.2859,27,-0.7041083,-35.56122497,-128.0204,129,0.9744606,SLOW,3583071,,11/02/1970 11:17,11,17,51,1707.367201
1.1046511,4.795174446,17.2626,28,0.54356986,-35.01765511,-126.0636,127,-0.033533096,SLOW,3583072,,11/02/1970 11:17,11,17,52,1705.410349
-0.72257066,4.795174446,17.2626,28,0.06589757,-35.01765511,-126.0636,127,1.2582073,SLOW,3583072,,11/02/1970 11:17,11,17,52,1705.410349
-0.032603502,4.762570944,17.1453,29,0.9243001,-34.09335501,-122.7361,124,0.45657253,SLOW,3583073,,11/02/1970 11:17,11,17,53,1702.082869
0.84279823,4.762570944,17.1453,29,0.67636704,-34.09335501,-122.7361,124,0.46356583,SLOW,3583073,,11/02/1970 11:17,11,17,53,1702.082869
0.4107144,5.173285344,18.6238,30,0.16595608,-33.92739893,-122.1386,124,1.3744249,SLOW,3583074,,11/02/1970 11:17,11,17,54,1701.485427
-0.070317864,5.173285344,18.6238,30,-0.85219574,-33.92739893,-122.1386,124,-0.6063833,SLOW,3583074,,11/02/1970 11:17,11,17,54,1701.485427
0.13122737,5.304512714,19.0962,31,-0.38069615,-34.30809508,-123.5091,125,-1.1667528,SLOW,3583075,,11/02/1970 11:17,11,17,55,1702.855933
0.17784953,5.304512714,19.0962,31,-0.7080842,-34.30809508,-123.5091,125,-0.94947624,SLOW,3583075,,11/02/1970 11:17,11,17,55,1702.855933
-1.145103,4.159409714,14.9739,32,-0.89601225,-35.20410733,-126.7348,128,-0.24878979,SLOW,3583076,,11/02/1970 11:17,11,17,56,1706.081577
-2.6442745,1.515135214,5.4545,33,-2.5636013,-37.76770863,-135.9638,136,-1.1732321,SLOW,3583077,,11/02/1970 11:17,11,17,57,1715.310542
-0.8957037,1.515135214,5.4545,33,0.45583615,-37.76770863,-135.9638,136,1.6594887,SLOW,3583077,,11/02/1970 11:17,11,17,57,1715.310542
0.7652004,2.280335614,8.2092,34,2.1131625,-35.65454613,-128.3564,129,1.2231588,SLOW,3583078,,11/02/1970 11:17,11,17,58,1707.703157
-0.024217248,2.280335614,8.2092,34,0.4785946,-35.65454613,-128.3564,129,0.7092571,SLOW,3583078,,11/02/1970 11:17,11,17,58,1707.703157
0.46720004,2.747535654,9.8911,35,0.34423807,-35.31030806,-127.1171,128,0.13853931,SLOW,3583079,,11/02/1970 11:17,11,17,59,1706.4639
-0.76638544,2.747535654,9.8911,35,-0.7531625,-35.31030806,-127.1171,128,-0.51207066,SLOW,3583079,,11/02/1970 11:17,11,17,59,1706.4639
-0.28816628,2.459369374,8.8537,36,-1.6308962,-36.94120426,-132.9883,133,-0.097361565,SLOW,3583080,,11/02/1970 11:18,11,18,0,1712.335126
-0.025117159,2.459369374,8.8537,36,0.9171357,-36.94120426,-132.9883,133,0.9120016,SLOW,3583080,,11/02/1970 11:18,11,18,0,1712.335126
-0.72296214,1.736407234,6.2511,37,-0.16008684,-37.1012911,-133.5646,134,0.32838917,SLOW,3583081,,11/02/1970 11:18,11,18,1,1712.911439
1.1009512,1.736407234,6.2511,37,0.48942226,-37.1012911,-133.5646,134,-0.009467125,SLOW,3583081,,11/02/1970 11:18,11,18,1,1712.911439
0.96695447,2.703361704,9.7321,38,-0.31499565,-37.41628675,-134.6986,135,0.73401356,SLOW,3583082,,11/02/1970 11:18,11,18,2,1714.045423
-0.8317312,1.871630504,6.7379,39,-0.3456138,-37.76190055,-135.9428,136,-0.7083454,SLOW,3583083,,11/02/1970 11:18,11,18,3,1715.289633
-0.40691352,1.871630504,6.7379,39,-0.30785528,-37.76190055,-135.9428,136,-0.047599792,SLOW,3583083,,11/02/1970 11:18,11,18,3,1715.289633
-1.154449,0.717181504,2.5819,40,-0.33251494,-38.09441549,-137.1399,137,-0.16680622,SLOW,3583084,,11/02/1970 11:18,11,18,4,1716.486687
-1.0835153,0.717181504,2.5819,40,-2.4735143,-38.09441549,-137.1399,137,0.2636299,SLOW,3583084,,11/02/1970 11:18,11,18,4,1716.486687
-0.790447,-0.073265496,-0.2638,41,0.26405454,-37.83036095,-136.1893,136,0.62375927,SLOW,3583085,,11/02/1970 11:18,11,18,5,1715.53609
-0.019569159,-0.073265496,-0.2638,41,0.497078,-37.83036095,-136.1893,136,1.1980839,SLOW,3583085,,11/02/1970 11:18,11,18,5,1715.53609
-0.46247232,-0.535737816,-1.9287,42,0.9834922,-36.84686875,-132.6487,133,0.08982849,SLOW,3583086,,11/02/1970 11:18,11,18,6,1711.995518
-0.5731816,-0.535737816,-1.9287,42,0.19511057,-36.84686875,-132.6487,133,-0.4779806,SLOW,3583086,,11/02/1970 11:18,11,18,6,1711.995518
-1.3476692,-1.883407016,-6.7803,43,-0.46685523,-37.31372398,-134.3294,135,-0.3633318,SLOW,3583087,,11/02/1970 11:18,11,18,7,1713.676197
-1.517217,-1.883407016,-6.7803,43,0.47866404,-37.31372398,-134.3294,135,0.031124115,SLOW,3583087,,11/02/1970 11:18,11,18,7,1713.676197
-0.11173558,-1.995142596,-7.1825,44,-0.113221854,-37.42694583,-134.7370,135,-0.5654888,SLOW,3583088,,11/02/1970 11:18,11,18,8,1714.083796
-0.54897463,-1.995142596,-7.1825,44,0.66193664,-37.42694583,-134.7370,135,0.77593136,SLOW,3583088,,11/02/1970 11:18,11,18,8,1714.083796
-1.8495816,-3.844724196,-13.8410,45,-0.55384123,-37.98078706,-136.7308,137,-0.09923458,SLOW,3583089,,11/02/1970 11:18,11,18,9,1716.077624
-1.0184686,-4.863192796,-17.5075,46,-0.005304471,-37.98609153,-136.7499,138,-0.2424078,SLOW,3583090,,11/02/1970 11:18,11,18,10,1716.09672
0.53263974,-4.863192796,-17.5075,46,0.36936888,-37.98609153,-136.7499,138,1.106802,SLOW,3583090,,11/02/1970 11:18,11,18,10,1716.09672
-1.5404446,-6.403637396,-23.0531,47,-0.24243787,-38.2285294,-137.6227,140,0.9758606,SLOW,3583091,,11/02/1970 11:18,11,18,11,1716.969497
0.6029782,-6.403637396,-23.0531,47,-0.7383678,-38.2285294,-137.6227,140,-0.6120148,SLOW,3583091,,11/02/1970 11:18,11,18,11,1716.969497
-0.21226144,-6.615898836,-23.8172,48,0.34608382,-37.88244558,-136.3768,138,0.46927452,SLOW,3583092,,11/02/1970 11:18,11,18,12,1715.723595
0.054176807,-6.615898836,-23.8172,48,0.24709699,-37.88244558,-136.3768,138,0.70066833,SLOW,3583092,,11/02/1970 11:18,11,18,12,1715.723595
0.7310884,-5.884810436,-21.1853,49,-0.000260405,-37.88270599,-136.3777,138,1.120636,SLOW,3583093,,11/02/1970 11:18,11,18,13,1715.724532
-0.31716812,-5.884810436,-21.1853,49,-1.3101573,-37.88270599,-136.3777,138,0.24253082,SLOW,3583093,,11/02/1970 11:18,11,18,13,1715.724532
1.2333542,-4.651456236,-16.7452,50,-0.8705343,-38.75324029,-139.5117,141,1.7522421,SLOW,3583094,,11/02/1970 11:18,11,18,14,1718.858456
0.34419203,-4.651456236,-16.7452,50,-1.3026417,-38.75324029,-139.5117,141,-1.827805,SLOW,3583094,,11/02/1970 11:18,11,18,14,1718.858456
0.13316143,-4.518294806,-16.2659,51,-0.4817303,-39.23497059,-141.2459,142,1.3502932,SLOW,3583095,,11/02/1970 11:18,11,18,15,1720.592685
1.2236425,-4.518294806,-16.2659,51,0.64939374,-39.23497059,-141.2459,142,2.1429033,SLOW,3583095,,11/02/1970 11:18,11,18,15,1720.592685
-0.17280853,-4.691103336,-16.8880,52,0.07121135,-39.16375924,-140.9895,142,1.4936562,SLOW,3583096,,11/02/1970 11:18,11,18,16,1720.336324
1.9665277,-2.724575636,-9.8085,53,-0.035237253,-39.19899649,-141.1164,141,-0.92091274,SLOW,3583097,,11/02/1970 11:18,11,18,17,1720.463178
-0.5599705,-2.724575636,-9.8085,53,-1.9758568,-39.19899649,-141.1164,141,-0.4612007,SLOW,3583097,,11/02/1970 11:18,11,18,17,1720.463178
0.9986675,-1.725908136,-6.2133,54,-2.497491,-41.69648749,-150.1074,150,-0.705122,SLOW,3583098,,11/02/1970 11:18,11,18,18,1729.454146
0.7289984,-1.725908136,-6.2133,54,2.0124066,-41.69648749,-150.1074,150,1.8940277,SLOW,3583098,,11/02/1970 11:18,11,18,18,1729.454146
-1.8875022,-3.613410336,-13.0083,55,-0.82485175,-42.52133924,-153.0768,154,-0.58902645,SLOW,3583099,,11/02/1970 11:18,11,18,19,1732.423612
-2.1989102,-3.613410336,-13.0083,55,-0.2721754,-42.52133924,-153.0768,154,-0.946496,SLOW,3583099,,11/02/1970 11:18,11,18,19,1732.423612
-1.9458233,-5.559233636,-20.0132,56,0.061725587,-42.45961365,-152.8546,154,0.16400623,SLOW,3583100,,11/02/1970 11:18,11,18,20,1732.2014
-1.9967294,-5.559233636,-20.0132,56,-0.4975109,-42.45961365,-152.8546,154,-0.57637596,SLOW,3583100,,11/02/1970 11:18,11,18,20,1732.2014
-0.41130996,-5.970543596,-21.4940,57,-0.29552412,-42.75513777,-153.9185,155,1.0970831,SLOW,3583101,,11/02/1970 11:18,11,18,21,1733.265287
-0.13301528,-5.970543596,-21.4940,57,0.03472703,-42.75513777,-153.9185,155,-0.38325405,SLOW,3583101,,11/02/1970 11:18,11,18,21,1733.265287
-0.2335093,-6.204052896,-22.3346,58,-1.0180663,-43.77320407,-157.5835,159,-0.094584465,SLOW,3583102,,11/02/1970 11:18,11,18,22,1736.930325
0.44369137,-6.204052896,-22.3346,58,-0.6349845,-43.77320407,-157.5835,159,0.0828495,SLOW,3583102,,11/02/1970 11:18,11,18,22,1736.930325
0.6791347,-5.524918196,-19.8897,59,-0.5528246,-44.32602867,-159.5737,161,0.88781166,SLOW,3583103,,11/02/1970 11:18,11,18,23,1738.920494
2.1792064,-3.345711796,-12.0446,60,-0.49521732,-44.82124599,-161.3565,162,-0.07311916,SLOW,3583104,,11/02/1970 11:18,11,18,24,1740.703276
2.4706373,-3.345711796,-12.0446,60,-0.2884444,-44.82124599,-161.3565,162,-0.29010105,SLOW,3583104,,11/02/1970 11:18,11,18,24,1740.703276
1.9545815,-1.391130296,-5.0081,61,0.22944194,-44.59180405,-160.5305,161,0.05307007,SLOW,3583105,,11/02/1970 11:18,11,18,25,1739.877285
1.8342481,-1.391130296,-5.0081,61,0.4988265,-44.59180405,-160.5305,161,-1.0039606,SLOW,3583105,,11/02/1970 11:18,11,18,25,1739.877285
1.7757758,0.384645504,1.3847,62,-0.9420456,-45.53384965,-163.9219,164,-0.34724617,SLOW,3583106,,11/02/1970 11:18,11,18,26,1743.26865
1.5827452,0.384645504,1.3847,62,0.52766186,-45.53384965,-163.9219,164,-0.77645874,SLOW,3583106,,11/02/1970 11:18,11,18,26,1743.26865
1.7709715,2.155617004,7.7602,63,0.3056621,-45.22818755,-162.8215,163,-1.3618011,SLOW,3583107,,11/02/1970 11:18,11,18,27,1742.168266
1.5350492,2.155617004,7.7602,63,0.9764863,-45.22818755,-162.8215,163,-2.693324,SLOW,3583107,,11/02/1970 11:18,11,18,27,1742.168266
2.8904603,5.046077304,18.1659,64,0.70541966,-44.52276789,-160.2820,161,-1.2799406,SLOW,3583108,,11/02/1970 11:18,11,18,28,1739.628755
